year,team,ishome,week,pts,ptsallowed
2014,WAS,0,6,20,30
2014,SEA,1,6,23,30
2014,DAL,0,6,30,23
2014,PHI,1,6,27,0
2014,NYG,0,6,0,27
2014,STL,1,6,17,31
2014,SF,0,6,31,17
2014,NE,1,7,27,25
2014,NYJ,0,7,25,27
2014,BAL,1,7,29,7
2014,ATL,0,7,7,29
2014,BUF,1,7,17,16
2014,MIN,0,7,16,17
2014,CHI,1,7,14,27
2014,MIA,0,7,27,14
2014,DET,1,7,24,23
2014,NO,0,7,23,24
2014,GB,1,7,38,17
2014,CAR,0,7,17,38
2014,IND,1,7,27,0
2014,CIN,0,7,0,27
2014,JAC,1,7,24,6
2014,CLE,0,7,6,24
2014,STL,1,7,28,26
2014,SEA,0,7,26,28
2014,WAS,1,7,19,17
2014,TEN,0,7,17,19
2014,SD,1,7,20,23
2014,KC,0,7,23,20
2014,DAL,1,7,31,21
2014,NYG,0,7,21,31
2014,OAK,1,7,13,24
2014,ARI,0,7,24,13
2014,DEN,1,7,42,17
2014,SF,0,7,17,42
2014,PIT,1,7,30,23
2014,HOU,0,7,23,30
2014,DEN,1,8,35,21
2014,SD,0,8,21,35
2014,ATL,1,8,21,22
2014,DET,0,8,22,21
2014,CAR,1,8,9,13
2014,SEA,0,8,13,9
2014,CIN,1,8,27,24
2014,BAL,0,8,24,27
2014,JAC,1,8,13,27
2014,MIA,0,8,27,13
2014,KC,1,8,34,7
2014,STL,0,8,7,34
2014,NE,1,8,51,23
2014,CHI,0,8,23,51
2014,NYJ,1,8,23,43
2014,BUF,0,8,43,23
2014,TB,1,8,13,19
2014,MIN,0,8,19,13
2014,TEN,1,8,16,30
2014,HOU,0,8,30,16
2014,ARI,1,8,24,20
2014,PHI,0,8,20,24
2014,CLE,1,8,23,13
2014,OAK,0,8,13,23
2014,PIT,1,8,51,34
2014,IND,0,8,34,51
2014,NO,1,8,44,23
2014,GB,0,8,23,44
2014,DAL,1,8,17,20
2014,WAS,0,8,20,17
2014,CAR,1,9,10,28
2014,NO,0,9,28,10
2014,CIN,1,9,33,23
2014,JAC,0,9,23,33
2014,CLE,1,9,22,17
2014,TB,0,9,17,22
2014,DAL,1,9,17,28
2014,ARI,0,9,28,17
2014,HOU,1,9,21,31
2014,PHI,0,9,31,21
2014,KC,1,9,24,10
2014,NYJ,0,9,10,24
2014,MIA,1,9,37,0
2014,SD,0,9,0,37
2014,MIN,1,9,29,26
2014,WAS,0,9,26,29
2014,SF,1,9,10,13
2014,STL,0,9,13,10
2014,NE,1,9,43,21
2014,DEN,0,9,21,43
2014,SEA,1,9,30,24
2014,OAK,0,9,24,30
2014,PIT,1,9,43,23
2014,BAL,0,9,23,43
2014,NYG,1,9,24,40
2014,IND,0,9,40,24
2014,CIN,1,10,3,24
2014,CLE,0,10,24,3
2014,BAL,1,10,21,7
2014,TEN,0,10,7,21
2014,BUF,1,10,13,17
2014,KC,0,10,17,13
2014,DET,1,10,20,16
2014,MIA,0,10,16,20
2014,JAC,1,10,17,31
2014,DAL,0,10,31,17
2014,NO,1,10,24,27
2014,SF,0,10,27,24
2014,NYJ,1,10,20,13
2014,PIT,0,10,13,20
2014,TB,1,10,17,27
2014,ATL,0,10,27,17
2014,OAK,1,10,17,41
2014,DEN,0,10,41,17
2014,ARI,1,10,31,14
2014,STL,0,10,14,31
2014,SEA,1,10,38,17
2014,NYG,0,10,17,38
2014,GB,1,10,55,14
2014,CHI,0,10,14,55
2014,PHI,1,10,45,21
2014,CAR,0,10,21,45
2014,MIA,1,11,22,9
2014,BUF,0,11,9,22
2014,CAR,1,11,17,19
2014,ATL,0,11,19,17
2014,CHI,1,11,21,13
2014,MIN,0,11,13,21
2014,CLE,1,11,7,23
2014,HOU,0,11,23,7
2014,GB,1,11,53,20
2014,PHI,0,11,20,53
2014,KC,1,11,24,20
2014,SEA,0,11,20,24
2014,NO,1,11,10,27
2014,CIN,0,11,27,10
2014,NYG,1,11,10,16
2014,SF,0,11,16,10
2014,STL,1,11,22,7
2014,DEN,0,11,7,22
2014,WAS,1,11,7,27
2014,TB,0,11,27,7
2014,SD,1,11,13,6
2014,OAK,0,11,6,13
2014,ARI,1,11,14,6
2014,DET,0,11,6,14
2014,IND,1,11,20,42
2014,NE,0,11,42,20
2014,TEN,1,11,24,27
2014,PIT,0,11,27,24
2014,OAK,1,12,24,20
2014,KC,0,12,20,24
2014,ATL,1,12,24,26
2014,CLE,0,12,26,24
2014,BUF,1,12,38,3
2014,NYJ,0,12,3,38
2014,CHI,1,12,21,13
2014,TB,0,12,13,21
2014,HOU,1,12,13,22
2014,CIN,0,12,22,13
2014,IND,1,12,23,3
2014,JAC,0,12,3,23
2014,MIN,1,12,21,24
2014,GB,0,12,24,21
2014,NE,1,12,34,9
2014,DET,0,12,9,34
2014,PHI,1,12,43,24
2014,TEN,0,12,24,43
2014,SD,1,12,27,24
2014,STL,0,12,24,27
2014,SEA,1,12,19,3
2014,ARI,0,12,3,19
2014,DEN,1,12,39,36
2014,MIA,0,12,36,39
2014,SF,1,12,17,13
2014,WAS,0,12,13,17
2014,NYG,1,12,28,31
2014,DAL,0,12,31,28
2014,NO,1,12,27,34
2014,BAL,0,12,34,27
2014,DET,1,13,34,17
2014,CHI,0,13,17,34
2014,DAL,1,13,10,33
2014,PHI,0,13,33,10
2014,SF,1,13,3,19
2014,SEA,0,13,19,3
2014,BAL,1,13,33,34
2014,SD,0,13,34,33
2014,BUF,1,13,26,10
2014,CLE,0,13,10,26
2014,HOU,1,13,45,21
2014,TEN,0,13,21,45
2014,IND,1,13,49,27
2014,WAS,0,13,27,49
2014,JAC,1,13,25,24
2014,NYG,0,13,24,25
2014,MIN,1,13,31,13
2014,CAR,0,13,13,31
2014,PIT,1,13,32,35
2014,NO,0,13,35,32
2014,STL,1,13,52,0
2014,OAK,0,13,0,52
2014,TB,1,13,13,14
2014,CIN,0,13,14,13
2014,ATL,1,13,29,18
2014,ARI,0,13,18,29
2014,GB,1,13,26,21
2014,NE,0,13,21,26
2014,KC,1,13,16,29
2014,DEN,0,13,29,16
2014,NYJ,1,13,13,16
2014,MIA,0,13,16,13
2014,CHI,1,14,28,41
2014,DAL,0,14,41,28
2014,CIN,1,14,21,42
2014,PIT,0,14,42,21
2014,CLE,1,14,24,25
2014,IND,0,14,25,24
2014,DET,1,14,34,17
2014,TB,0,14,17,34
2014,JAC,1,14,13,27
2014,HOU,0,14,27,13
2014,MIA,1,14,13,28
2014,BAL,0,14,28,13
2014,MIN,1,14,30,24
2014,NYJ,0,14,24,30
2014,NO,1,14,10,41
2014,CAR,0,14,41,10
2014,TEN,1,14,7,36
2014,NYG,0,14,36,7
2014,WAS,1,14,0,24
